position,data_source,scraped_time,name,company_name
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/SOGEGH,2017-10-11 15:56:14.646446,"Nii Adja Nablah,",Societe Generale Ghana Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/SOGEGH,2017-10-11 15:56:14.646486,"Christian Celin,",Societe Generale Ghana Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/SOGEGH,2017-10-11 15:56:14.646525,"Christian Celin,",Societe Generale Ghana Limited
"Chairman. George Prah. Raziel Obeng-Okong. Gaylord Sedofia Kemevor. Eric Abeiku Coffie. Fouad Chalabi, Jonathan Sam, Romeo Bugyei",https://gse.com.gh/Listed-Companies/company-profile/TRANSOL,2017-10-11 15:56:15.509763,Paul Tse Jaquaye,Transol Solution (GHANA) Ltd
Chairman,https://gse.com.gh/Listed-Companies/company-profile/TLW,2017-10-11 15:56:17.056533,Aidan Heavey,Tullow Oil Plc
"Chief Executive Officer,",https://gse.com.gh/Listed-Companies/company-profile/TLW,2017-10-11 15:56:17.056600,Paul McDade,Tullow Oil Plc
"Chief Financial Officer,",https://gse.com.gh/Listed-Companies/company-profile/TLW,2017-10-11 15:56:17.056639,Les Wood,Tullow Oil Plc
"Exploration Director,",https://gse.com.gh/Listed-Companies/company-profile/TLW,2017-10-11 15:56:17.056676,Angus McCoss,Tullow Oil Plc
"Chief Operating Officer,",https://gse.com.gh/Listed-Companies/company-profile/TLW,2017-10-11 15:56:17.056713,Paul McDade,Tullow Oil Plc
"Company Secretary,",https://gse.com.gh/Listed-Companies/company-profile/TLW,2017-10-11 15:56:17.056748,Kevin Massie,Tullow Oil Plc
"Non-executive Director,",https://gse.com.gh/Listed-Companies/company-profile/TLW,2017-10-11 15:56:17.056784,Steve Lucas,Tullow Oil Plc
"Non-executive Director,",https://gse.com.gh/Listed-Companies/company-profile/TLW,2017-10-11 15:56:17.056820,Kofi Tutu Agyare,Tullow Oil Plc
"Non-executive Director,",https://gse.com.gh/Listed-Companies/company-profile/TLW,2017-10-11 15:56:17.056856,Jeremy Wilson,Tullow Oil Plc
"Non-executive Director,",https://gse.com.gh/Listed-Companies/company-profile/TLW,2017-10-11 15:56:17.056891,Anne Drinkwater,Tullow Oil Plc
"Non-executive Director,",https://gse.com.gh/Listed-Companies/company-profile/TLW,2017-10-11 15:56:17.056927,Mike Daly,Tullow Oil Plc
Non-executive Director,https://gse.com.gh/Listed-Companies/company-profile/TLW,2017-10-11 15:56:17.057007,Steve Luca,Tullow Oil Plc
"Chairman,",https://gse.com.gh/Listed-Companies/company-profile/UTB,2017-10-11 15:56:18.290881,Joseph Nsonamoah,UT Bank Limited
Executive Director,https://gse.com.gh/Listed-Companies/company-profile/UTB,2017-10-11 15:56:18.290965,Prince Kofi Amoabeng,UT Bank Limited
Non Executive Director,https://gse.com.gh/Listed-Companies/company-profile/UTB,2017-10-11 15:56:18.291020,Martyn Mensah,UT Bank Limited
Non Executive Director,https://gse.com.gh/Listed-Companies/company-profile/UTB,2017-10-11 15:56:18.291072,Linda Osei-Akoto,UT Bank Limited
Non Executive Director,https://gse.com.gh/Listed-Companies/company-profile/UTB,2017-10-11 15:56:18.291124,Mr. Alex Bernasko,UT Bank Limited
Non Executive Director,https://gse.com.gh/Listed-Companies/company-profile/UTB,2017-10-11 15:56:18.291175,Charles Sydney Aidoo,UT Bank Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/TOTAL,2017-10-11 15:56:20.661367,MR. THIBAULT DE LANGLAIS,Total Petroleum Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/TOTAL,2017-10-11 15:56:20.661437,MR. OLIVIER VAN PARYS,Total Petroleum Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/TOTAL,2017-10-11 15:56:20.661481,MR. REXFORD ADOMAKO-BONSU,Total Petroleum Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/TOTAL,2017-10-11 15:56:20.661523,MR. MOMAR NGUER,Total Petroleum Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/TOTAL,2017-10-11 15:56:20.661564,MR. EMMANUEL DE FOURNAS,Total Petroleum Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/TOTAL,2017-10-11 15:56:20.661603,MR. GERARD PRUNEAU,Total Petroleum Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/TOTAL,2017-10-11 15:56:20.661642,MR. EDWARD GYAMPOH,Total Petroleum Ghana Ltd
TWENEBOA,https://gse.com.gh/Listed-Companies/company-profile/TOTAL,2017-10-11 15:56:20.661681,MR. KWADWO OWUSU- TWENEBOA,Total Petroleum Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/TOTAL,2017-10-11 15:56:20.661719,MR. KOFI AMPIM,Total Petroleum Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/TOTAL,2017-10-11 15:56:20.661758,MR. JOHN SACKAH ADDO,Total Petroleum Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/TOTAL,2017-10-11 15:56:20.661795,MR. JOHN SACKAH ADDO,Total Petroleum Ghana Ltd
Chairman,https://gse.com.gh/Listed-Companies/company-profile/UNIL,2017-10-11 15:56:24.789556,Ishmael E. Yamson,Unilever Ghana Limited
Vice Chairman,https://gse.com.gh/Listed-Companies/company-profile/UNIL,2017-10-11 15:56:24.789623,Mr. Luc Oliver Marquet,Unilever Ghana Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/UNIL,2017-10-11 15:56:24.789664,Mr. Clarence Derrick Lomotey Nartey,Unilever Ghana Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/UNIL,2017-10-11 15:56:24.789705,Charles A. Cofie,Unilever Ghana Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/UNIL,2017-10-11 15:56:24.789744,Joseph N-A Hyde,Unilever Ghana Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/UNIL,2017-10-11 15:56:24.789783,Franklyn A. Manu,Unilever Ghana Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/UNIL,2017-10-11 15:56:24.789822,Mr. Miguel Angel Jimenez Marquez,Unilever Ghana Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/UNIL,2017-10-11 15:56:24.789861,Mr. Moses Bamidele Amao,Unilever Ghana Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/UNIL,2017-10-11 15:56:24.789900,Maidie E. Arkutu,Unilever Ghana Limited
secretary,https://gse.com.gh/Listed-Companies/company-profile/UNIL,2017-10-11 15:56:24.789938,Ms. Elizabeth Donkoh,Unilever Ghana Limited
