data_source,scraped_time,name,organization_type,company_name,position
https://www.parliament.gh/mps?mp=139,2017-10-17 16:53:25.477594,JAMES KLUTSE AVEDZI,,CONTROLLER AND ACCOUNTANT-GENERAL,PRINCIPAL ACCOUNTANT
https://www.parliament.gh/mps?mp=141,2017-10-17 16:53:25.630305,KWASI N/A ETU-BONDE,,SUSTENANCE AGRO VENTURESAREA AGRIBUSINESS MANAGER,C.E.O
https://www.parliament.gh/mps?mp=140,2017-10-17 16:53:25.705063,FIFI FIAVI FRANKLIN KWETEY,,GOVERNMENT OF GHANAMINISTER OF TRADE,DEPUTY MINISTER OF FIINANACE
https://www.parliament.gh/mps?mp=142,2017-10-17 16:53:25.771803,FELICIA  ADJEI,,ADDFAL F.A LIMITED,MANAGING DIRECTOR
https://www.parliament.gh/mps?mp=143,2017-10-17 16:53:25.904216,ZANETOR  AGYEMAN-RAWLINGS,,2009-2014 ,FAMILY DOCTOR 
https://www.parliament.gh/mps?mp=144,2017-10-17 16:53:26.162794,SAMUEL  ATTA MILLS,,OFFICE OF THE PRESIDENT REGIONAL MANAGER,PRESIDENTIAL AIDE
https://www.parliament.gh/mps?mp=148,2017-10-17 16:53:27.474621,MICHAEL YAW GYATO,,AGMARK LIMITED MANAGING DIRECTOR,MANAGING DIRETOR
https://www.parliament.gh/mps?mp=152,2017-10-17 16:53:31.259309,PHILIP  BASOAH,,2009-2012 ,PROJECT CO-ORDINATOR
https://www.parliament.gh/mps?mp=155,2017-10-17 16:53:38.846801,SAMIU KWADWO NUAMAH,,AFRICAN INST. OF ENERGY SUSTAINABILITYHEAD OF ENGINEERING,EXECUTIVE DIRECTOR
https://www.parliament.gh/mps?mp=156,2017-10-17 16:53:42.451762,JOSEPH  MENSAH,,GHANA PORTS AND HARBOURS AUTHORITY HUMAN RESOURCE MANAGER,OPERATIONS MANAGER
https://www.parliament.gh/mps?mp=158,2017-10-17 16:53:44.986700,ANTHONY ABAYIFAA N-YOH PUOWELE KARBO,,NEW PATRIOTIC PARTYDEPUTY DIRECTOR OF COMMUNICATIONS,NATIONAL YOUTH ORGANISER
https://www.parliament.gh/mps?mp=157,2017-10-17 16:53:45.571484,EDWARD KAALE-EWOLA DERY,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=159,2017-10-17 16:53:48.800331,BERNARD OKOE BOYE,,GHANA HEALTH SERVICEMEDICAL OFFICER,HOUSE OFFICER
https://www.parliament.gh/mps?mp=179,2017-10-17 16:53:51.316304,GEORGE BOAHEN ODURO,,2013-2016 ,DIRECTOR 
https://www.parliament.gh/mps?mp=160,2017-10-17 16:53:57.012846,EBENEZER OKLETEY TERLABI,,KNUST,LECTURER
