data_source,scraped_time,name,organization_type,company_name,position,date_position
https://www.parliament.gh/mps?mp=261,2017-10-18 08:49:38.995597,ISAAC ADJEI MENSAH,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT,2013-to date
https://www.parliament.gh/mps?mp=268,2017-10-18 08:49:39.042312,MAGNUS KOFI AMOATEY,,PARLIAMENT OF GHANADIRECTOR OF PROGRAMMES,MEMBER OF PARLIAMENT,2013-2016
https://www.parliament.gh/mps?mp=245,2017-10-18 08:49:39.527984,HENRY YEBOAH YIADOM-BOACHIE,,NEWMONT AHAFO DEV. FOUNDATIONPROJECT COORDINATOR/ EDUCATION DIRECTOR,PROJECT COORDINATOR,2009-2016
https://www.parliament.gh/mps?mp=266,2017-10-18 08:49:39.635148,JOHN ABDULAI JINAPOR,,GOVERNMENT OF GHANASPOKESMAN TO PRESIDENT,DEPUTY MINISTER,2013-2016
https://www.parliament.gh/mps?mp=251,2017-10-18 08:49:40.127417,MOSES  ANIM,,WILHELM LTDQUALITY ASSURANCE MANAGER,PROJECT MANAGER,2004-2012
https://www.parliament.gh/mps?mp=267,2017-10-18 08:49:40.263319,TIJANI HABIBU MOHAMMAD,,GOVERNMENT OF GHANAMUNICIPAL CHIEF EXECUTIVE - YENDI,ASSISTANT DIRECTOR - MONITORING,2009-2013
https://www.parliament.gh/mps?mp=259,2017-10-18 08:49:40.325568,JOSEPH YIELEH CHIREH,,PARLIAMENT OF GHANA MINISTER OF STATE,MEMBER OF PARLIAMENT,2005-2016
https://www.parliament.gh/mps?mp=253,2017-10-18 08:49:40.348265,NANA  AMOAKOH,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT,2005-2016
https://www.parliament.gh/mps?mp=265,2017-10-18 08:49:40.592638,ABDUL-RAUF TANKO IBRAHIM,,TASS KALIAN ENT.LTDHAJJ CHAIRMAN,MANAGING DIRECTOR,1983-2016
https://www.parliament.gh/mps?mp=258,2017-10-18 08:49:41.169964,GODFREY TANGU BAYON,,GHANA EDUCATION SERVICEMEMBER OF PARLIAMENT,TEACHER,1977-2000
https://www.parliament.gh/mps?mp=273,2017-10-18 08:49:41.451854,BENITO OWUSU-BIO,,KumasiMP,General Manager,Hotel Goergia Limited
https://www.parliament.gh/mps?mp=263,2017-10-18 08:49:41.616077,GEORGE YAW GYAN-BAFFOUR,,HOWARD UNIVERSITYDIRECTOR-GENERAL,PROFESSOR OF MANAGEMENT,1993-2001
https://www.parliament.gh/mps?mp=275,2017-10-18 08:49:43.299782,ISAAC KWAME ASIAMAH,,NPP National Youth Secretary,Policy Analyst,NPP HQ
https://www.parliament.gh/mps?mp=270,2017-10-18 08:49:43.874643,ALHASSAN  UMAR,,NORTHERN TECHNOLOGYDIRECTOR,CEO/OWNER,2014-to date
https://www.parliament.gh/mps?mp=277,2017-10-18 08:49:45.255881,KOFI OKYERE-AGYEKUM,,1984-2000Cleaning Solution Ltd.Commercial &amp Supply Chain Manager,Uniliver,Audit Accounting Manager
https://www.parliament.gh/mps?mp=279,2017-10-18 08:49:45.436350,KOJO APPIAH-KUBI (DR),,Social And Economic Research,Senior Lecturer And A Senior Research Fellow,Institute Of Statistical
https://www.parliament.gh/mps?mp=269,2017-10-18 08:49:45.912365,JOSEPH BIPOBA NAABU,,PARLIAMENT OF GHANA,MP,2013-2016
https://www.parliament.gh/mps?mp=271,2017-10-18 08:49:46.557219,FRANK FUSEINI ADONGO,,F. F. A. FAITH CLINIC,PROPRIETOR,2005-2016
https://www.parliament.gh/mps?mp=274,2017-10-18 08:49:47.537011,CASSIEL ATO FORSON,,UK Limited,Managing Director,Forson Contracts
https://www.parliament.gh/mps?mp=276,2017-10-18 08:49:48.847508,WILLIAM OWURAKU AIDOO,,NATIONAL MOBLIZATIONSNR SUPT,NSS,1989-1990
https://www.parliament.gh/mps?mp=272,2017-10-18 08:49:51.660538,OSEI KYEI-MENSAH-BONSU,,Jan 1997-to date,Consultancy,MP
